GeneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ANO1	44.8231064732824	-5.24053625065411	0.503521936589025	-10.4077615488904	2.28532006494592e-25	6.16865018530527e-22
SLC1A1	8.04919659753695	4.08927199507022	0.774339473354748	5.28098093379362	1.28494063227614e-07	6.12510826536947e-06
LOC103898680	39.9564376649796	-3.83505767511928	0.62350617829739	-6.15079338201858	7.70963025082647e-10	6.99503174942634e-08
PBLD	87.6655835214934	2.17674229544698	0.296268782761877	7.34718749358251	2.02420837875363e-13	4.65008039689425e-11
RTN1	837.679197846229	3.10567468100566	0.59333824280482	5.23423986009154	1.65665208321345e-07	7.6114351244492e-06
P2RY14	9.30196153675008	-4.87545527204772	0.798328277831171	-6.1070807679429	1.01469897566586e-09	9.05430152087959e-08
LOC103895675	4.47084347979305	-5.06263987405043	1.0794205715157	-4.69014581308339	2.73010425260799e-06	7.38770316175651e-05
VCAN	84.239229574966	-2.36379416383712	0.368730725167338	-6.41062434589462	1.44924893920586e-10	1.5340726271182e-08
CLDN10	178.258531413776	2.18791266719265	0.501118741456442	4.36605635788784	1.26509851055219e-05	0.000255791547161647
OTOF	64.4321783920201	2.86144202456674	0.882773226347813	3.24142366256964	0.00118934283091167	0.00938008367082052
EN1	4.75475440064454	-4.71463719055845	0.958802958598316	-4.91721176731748	8.7785572497548e-07	2.86350702796382e-05
MC5R	9.75922456445068	-3.35289492675019	0.866569267707495	-3.86915974486409	0.000109211073844756	0.00144858963673444
SERPINH1	258.411204091672	-2.13389989566772	0.456376948347468	-4.67573987554484	2.9289568413053e-06	7.82770965732014e-05
SPP1	61.064179728479	3.30057123823865	0.996695302662656	3.31151479235553	0.000927923340217953	0.007833298126922
TLE1	15.9039254579213	-2.1956961996156	0.423063231690813	-5.18999533672611	2.10299347281165e-07	9.26776347997855e-06
SGIP1	16.6266471589095	-2.58757864607933	0.612346186217702	-4.22567936947907	2.38220982805799e-05	0.000432281000227599
LOC103893215	4066.70827477189	-7.0219646794452	1.13887126836317	-6.16572291751415	7.01618502915186e-10	6.47467946664552e-08
LOC103896299	28.2922141492463	2.91860623065826	0.875149069620565	3.33498181278267	0.000853049783069991	0.0073214455546953
RGS2	534.399812221319	-2.56474379913649	0.392730825848858	-6.53053855294651	6.5533615688921e-11	7.77545547904704e-09
NDUFS2	8.16432634524842	2.34003346631103	0.624183856293532	3.74894903595615	0.000177577163394476	0.00211359898598037
LOC103907790	98.3272193825776	-2.22475720096031	0.409339224799819	-5.43499637018246	5.47975479504467e-08	2.88609329376084e-06
LOC103908312	87.2500547936269	2.69001753011886	0.573166245263135	4.69325880990062	2.68886962955554e-06	7.29440336439979e-05
FGFBP2	5.15426021764172	3.85817484162908	0.687633044746735	5.61080487784018	2.01387734926143e-08	1.23800613380681e-06
VWA3B	135.960075744328	-2.58810115351857	0.561887870438658	-4.60608119463065	4.10328226884166e-06	0.000101612703341017
LOC103904793	26.6981143254825	2.05380548022848	0.458731685799905	4.47713891105471	7.56500291646572e-06	0.000164014731905784
PCK1	3414.97833887138	3.15831862857716	0.735252812481461	4.29555463775502	1.74257110436237e-05	0.000336553329343056
DCDC2	193.646283102731	2.27002037105189	0.679059390383229	3.34288930128895	0.000829109673855536	0.00716087447745845
PCLO	363.05395944704	2.98987638474331	0.450715814894455	6.63361764983431	3.27557662527355e-11	4.16075303800924e-09
MCF2	19.193333641199	-3.00311507279237	0.664511065409278	-4.51928527471958	6.20487418944733e-06	0.000140154867413102
DUSP26	242.614454911404	-2.25159125959948	0.499095003857731	-4.51134802431584	6.44169287160242e-06	0.000144596586142809
PTGER3	22.4981090029774	-2.89725355399063	0.531794312548233	-5.4480717180063	5.09188278166136e-08	2.73517703450735e-06
EYA1	59.9016581857933	-2.2474256973229	0.537839082802523	-4.17862102101659	2.93281922929103e-05	0.0005099138360492
SST	540.304227541688	2.94746204466574	0.814961673025787	3.6166879280622	0.000298396697199029	0.00320257369747308
SCNM1	2.78252666848632	3.20590700607556	0.694617202729864	4.61535791724745	3.9241843385718e-06	9.97930384628999e-05
HOXA5	115.285808582945	-2.07721698000994	0.367882770007606	-5.64641007777287	1.63832794510289e-08	1.05291826329023e-06
ABRA	295.404937502917	-4.08642020623485	0.951398410603066	-4.29517241220172	1.74557621961759e-05	0.000336553329343056
STS	15.7173149599036	-2.35114890530196	0.406948051965207	-5.77751605874004	7.58114881505207e-09	5.31517297117644e-07
HOXB2	10.381916017135	-3.10778634657745	0.686089492897504	-4.52970986839137	5.90647384533134e-06	0.00013555449772962
HOXB4	31.4657960323333	-2.81884103345929	0.416964015294859	-6.76039401497495	1.3761696862942e-11	1.85731301286481e-09
HOXB5	118.016438570991	-2.55798875717718	0.347940567345521	-7.35179797139602	1.95558237015817e-13	4.590091924043e-11
LOC103902372	6.3951359849304	-2.06227262087027	0.536622971687368	-3.84305691272519	0.000121511276461371	0.00157876925626164
LOC103907826	2.92876231322111	2.1936650987707	0.560458507169407	3.91405442277929	9.07591654739133e-05	0.00125753490298607
FOS	496.321628645516	-2.26637190843718	0.581894904189456	-3.89481312195731	9.82744671359864e-05	0.00134482816434378
LOC103893312	522.864890628893	-6.40707668122418	0.680440616088131	-9.41607030758778	4.6828674680147e-21	5.61788000579497e-18
XIRP1	2672.96833152682	-3.75884041053294	0.772075832341936	-4.8684860386463	1.12456465999828e-06	3.57115430411806e-05
LOC103898835	3.79549122246094	-5.71705900585937	1.03599341116272	-5.51843182037518	3.42038122273446e-08	1.93350031737508e-06
APOBEC2	557.915835367448	-3.45058852259723	0.784445092086089	-4.39876360679499	1.08869332748573e-05	0.000226050420324296
RASGRP1	21.4492179674402	-2.27944194144832	0.664372600023961	-3.4309692202329	0.00060142883822993	0.00555010868920389
SLC3A1	147.28596320581	2.06565420004907	0.621343994306401	3.32449370876262	0.000885792319643605	0.0075365639678424
APOB	7798.75481250987	2.44176253415468	0.517265739640167	4.72051857881265	2.35244119374671e-06	6.52938497914735e-05
SLC32A1	183.441464728	4.08130278110974	0.810523521554025	5.03539092028399	4.76874623832274e-07	1.74536112322612e-05
LOC103905448	3.85400263891324	2.73410555597094	0.814350050473954	3.35740822313413	0.000786768579644677	0.00686461767457628
LOC103899410	2.86362732513126	-5.15855076550992	1.0585253518767	-4.87333700261794	1.09728805407303e-06	3.50515358574748e-05
LOC103901893	14.9501580802147	-3.45104556024103	0.434271005874942	-7.94675562852297	1.91459567223195e-15	6.89062982436279e-13
HPGDS	33.3444584044173	-2.1200458874652	0.636550408833468	-3.33052317309852	0.000866829482104612	0.00740854861913889
TOX	5.26162148488863	-3.96233691230693	0.932717706098298	-4.24816306841863	2.15530493017837e-05	0.000398473070738627
AGTR1	51.147087737508	-2.20098767624432	0.393747473022018	-5.58984584549002	2.2727128397384e-08	1.37086483411484e-06
LOC103899489	83.4861415189208	-4.36849382729619	0.855635962325575	-5.10555191652165	3.29830415271854e-07	1.29497417952371e-05
LOC103907929	496.091131441413	2.50137186983889	0.749368273961352	3.3379740733031	0.000843916234388279	0.00724881748821817
ACKR4	32.3088009311065	2.8701188875301	0.536301308518495	5.35169100269148	8.71360982801585e-08	4.41694109451113e-06
SPHKAP	317.060221565308	-2.01095132392813	0.43575378996518	-4.61487971014278	3.93323056045893e-06	9.97930384628999e-05
TSPAN1	4.00866725257306	-3.02996745815387	0.885978655408967	-3.41991021979558	0.000626418059952179	0.00574420414041241
LOC103903025	106.449783374168	-8.09531368769677	1.07465367828173	-7.53295117422427	4.96061644823704e-14	1.33899439479038e-11
KIF1A	292.853045056978	2.4873922865444	0.495686242528592	5.01807811702768	5.21909562489498e-07	1.8783525153997e-05
LOC103893436	30.6474966341109	-2.27833919831104	0.410261661516641	-5.55338071290541	2.80196897316913e-08	1.62994646645934e-06
LOC103897028	9.83230943987193	-5.2225259956601	0.892000154981469	-5.85484875366261	4.77444313408935e-09	3.57983767491408e-07
LOC103893470	1958.99753514742	3.81690322398905	0.90545365913417	4.2154594942373	2.49270131682947e-05	0.000447815243224755
LOC103904960	54.1576783510324	3.81683058445595	0.800192581189467	4.76988999170965	1.84326554445937e-06	5.36434988774335e-05
LOC103897044	10.7149158302369	2.25082357071318	0.462409887582586	4.86759394891007	1.12965133673636e-06	3.57678753159603e-05
CAPSL	12.8233279129822	-3.6920425714573	0.755777159551386	-4.88509413760112	1.03379448936332e-06	3.35191564614287e-05
TUBA8	49.9768669166462	-3.04141920315425	0.805997599645686	-3.77348419460709	0.000160983422550346	0.00196621947203177
LOC103898974	24.6253496076889	2.26935990453863	0.404488285770865	5.61044654288006	2.01805204732795e-08	1.23800613380681e-06
ABCB5	1141.50670806788	4.1511595041647	0.730277568627208	5.68435849942391	1.31304584536225e-08	8.64448536120499e-07
LOC103895908	60.5046928928943	2.01468536119707	0.350297091296596	5.75136194748257	8.85273547703069e-09	6.04955600920888e-07
PLIN1	57.6731287721827	-7.2884002792601	0.813018770079249	-8.96461502180284	3.11366629161663e-19	2.58601961158344e-16
LOC103894032	6.72807840841935	-5.77317797811638	0.796329994262701	-7.24973066405918	4.17601208544917e-13	8.05150044403477e-11
PLIN4	139.204090918539	-3.21939006354724	0.375200605284611	-8.58045007977838	9.45026368132753e-18	5.37023668248912e-15
LIPH	7.47411256334255	2.37730302129052	0.436946156797162	5.44072303717299	5.30647579079597e-08	2.80853034868746e-06
SLC6A15	30.1689879032126	-2.57915409413073	0.397955405069889	-6.48101285036645	9.1108910962044e-11	1.02469053297624e-08
SLC6A19	54.0784726751198	3.50825099837748	0.857563454174376	4.09095208208828	4.29605896892766e-05	0.000687797959991494
LOC103908593	131.543187008798	-5.29433888398629	0.547014142950946	-9.67861425926802	3.71720024873861e-22	5.01682638570385e-19
LOC103905524	7.42800570479377	2.03573047212635	0.475921224098717	4.27745258888495	1.8904420390329e-05	0.000359350399567574
LOC103895959	28.8587938664295	-2.22483105479103	0.482261358466149	-4.61333054314614	3.96267354127641e-06	9.9800950325126e-05
FAM189A2	3.83043853734212	-3.04661229191684	0.820773280266947	-3.71188044879575	0.000205725156992783	0.00239355012936538
LOC103895973	4.34036561074349	2.07465771559521	0.634653504484096	3.26896125356099	0.00107943081914328	0.00875628441344105
LRRC2	315.314298472666	-2.85247452285983	0.792199534375755	-3.60070209471601	0.000317359039112297	0.00334948733655471
KIAA1456	22.1168021193415	2.4352111492877	0.639970351282405	3.80519370062676	0.00014169326101179	0.00178722212516857
HGD	522.972550819857	3.17478741828248	0.841209127850215	3.77407628278586	0.000160601617152462	0.0019637776448416
KNG1	283.605745296574	3.1575758557069	0.783873331638961	4.02817104276897	5.62124432342216e-05	0.00085723975932188
BMP6	4.18163205764667	-2.4602438697743	0.635791201867226	-3.86957834985594	0.000109023741674791	0.0014478835656368
ZBBX	15.806351266435	2.59750056624549	0.762723329192603	3.4055606624687	0.000660283423446391	0.00599082363273167
CKMT2	523.738538808298	2.31532129017312	0.635318990527784	3.64434453352275	0.000268074117915043	0.00294745035756488
LOC103906169	194.332488931218	-2.8525528917696	0.811150348235808	-3.51667591337869	0.000436986983832555	0.0043166957588656
ZNF385B	50.4406330782745	-2.34737665791082	0.436155957206813	-5.3819662878014	7.36765654937416e-08	3.80615252457382e-06
LOC103906194	29.3260096740476	2.28179183725117	0.259931389358588	8.77843896761283	1.6575919438312e-18	1.11856376359659e-15
LOC103903132	29.2836866230115	-2.37756949021601	0.468297225673724	-5.07705226482066	3.8333545321773e-07	1.46299942274696e-05
IL31RA	5.35858791259324	-2.18260676279005	0.629112954968881	-3.46934003751046	0.000521738655127338	0.00495445229499549
FAM184A	91.2929862699185	-2.32988070965362	0.335611047077738	-6.942205061307	3.86026306509634e-12	6.04047250925293e-10
ARL1	179.481690863882	2.55909615959626	0.22449563167191	11.3993138331362	4.21427454036947e-30	1.51671740707897e-26
LOC103903190	10.0750580727606	2.60101351060575	0.656937099939207	3.95930373067139	7.51685899147535e-05	0.00107694264053831
SLC5A1	5.30945261301381	3.16619098418646	0.79059465432912	4.00482215108476	6.20641577026367e-05	0.000920476250982649
PARM1	172.218299529672	-2.10625389121133	0.29124795521294	-7.23182378970314	4.76550289614857e-13	9.02686574907299e-11
LOC103900175	51.2774748348073	-2.03568297248352	0.623866522525213	-3.2630104340969	0.00110235461195551	0.00889545795611636
HECW1	48.3989977250977	-2.71411215402152	0.279486041431076	-9.71108302985086	2.70447988485631e-22	4.17146704525623e-19
LOC103900184	94.5413211139384	-3.86478679255856	1.059929132344	-3.64626905198059	0.000266075390269791	0.00293743966129134
